race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes,course_id,cup,nth_race,debut_console,selected
51,Mount Wario,150,12,Tour New York Minute,2,16.67%,12,Star,4,Wii U,False
51,Mount Wario,150,12,Random,3,25.00%,12,Star,4,Wii U,False
51,Mount Wario,150,12,Dolphin Shoals,1,8.33%,12,Star,4,Wii U,False
51,Mount Wario,150,12,Mount Wario,1,8.33%,12,Star,4,Wii U,True
52,Water Park,150,11,SNES Mario Circuit 3,6,54.55%,2,Mushroom,2,Wii U,False
52,Water Park,150,11,Water Park,2,18.18%,2,Mushroom,2,Wii U,True
52,Water Park,150,11,Random,3,27.27%,2,Mushroom,2,Wii U,False
53,Bowser's Castle,150,12,Bowser's Castle,1,8.33%,15,Special,3,Wii U,True
53,Bowser's Castle,150,12,Tour London Loop,1,8.33%,15,Special,3,Wii U,False
53,Bowser's Castle,150,12,Random,8,66.67%,15,Special,3,Wii U,False
53,Bowser's Castle,150,12,GBA Boo Lake,2,16.67%,15,Special,3,Wii U,False
54,3DS Toad Circuit,150,12,Mute City,2,16.67%,50,Golden Dash,2,3DS,False
54,3DS Toad Circuit,150,12,Sunshine Airport,3,25.00%,50,Golden Dash,2,3DS,False
54,3DS Toad Circuit,150,12,Merry Mountain,4,33.33%,50,Golden Dash,2,3DS,False
54,3DS Toad Circuit,150,12,Random,2,16.67%,50,Golden Dash,2,3DS,False
54,3DS Toad Circuit,150,12,3DS Toad Circuit,1,8.33%,50,Golden Dash,2,3DS,True
55,N64 Royal Raceway,150,12,N64 Royal Raceway,8,66.67%,31,Banana,3,N64,True
55,N64 Royal Raceway,150,12,Piranha Plant Cove,2,16.67%,31,Banana,3,N64,False
55,N64 Royal Raceway,150,12,Random,2,16.67%,31,Banana,3,N64,False
56,Tour Tokyo Blur,150,12,Random,5,41.67%,53,Lucky Cat,1,Tour,False
56,Tour Tokyo Blur,150,12,Super Bell Subway,1,8.33%,53,Lucky Cat,1,Tour,False
56,Tour Tokyo Blur,150,12,GBA Boo Lake,2,16.67%,53,Lucky Cat,1,Tour,False
56,Tour Tokyo Blur,150,12,Tour Tokyo Blur,4,33.33%,53,Lucky Cat,1,Tour,True
