race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes
33,GBA Mario Circuit,150,12,GBA Mario Circuit,1,8.33%
33,GBA Mario Circuit,150,12,DS Waluigi Pinball,1,8.33%
34,N64 Choco Mountain,150,6,DS Peach Gardens,2,33.33%
34,N64 Choco Mountain,150,6,N64 Choco Mountain,1,16.67%
34,N64 Choco Mountain,150,6,Random,1,16.67%
34,N64 Choco Mountain,150,6,Dolphin Shoals,2,33.33%
35,DS Cheep Cheep Beach,Mirror,10,SNES Rainbow Road,4,40.00%
35,DS Cheep Cheep Beach,Mirror,10,Random,4,40.00%
35,DS Cheep Cheep Beach,Mirror,10,GBA Ribbon Road,1,10.00%
35,DS Cheep Cheep Beach,Mirror,10,DS Cheep Cheep Beach,1,10.00%
36,3DS Neo Bowser City,150,10,GBA Ribbon Road,3,30.00%
36,3DS Neo Bowser City,150,10,3DS Neo Bowser City,1,10.00%
36,3DS Neo Bowser City,150,10,DS Tick-Tock Clock,3,30.00%
36,3DS Neo Bowser City,150,10,Random,2,20.00%
36,3DS Neo Bowser City,150,10,N64 Rainbow Road,1,10.00%
37,Wii Moonview Highway,150,10,Wii Koopa Cape,2,20.00%
37,Wii Moonview Highway,150,10,Wii Moonview Highway,1,10.00%
37,Wii Moonview Highway,150,10,Wii DK Summit,3,30.00%
37,Wii Moonview Highway,150,10,Random,4,40.00%
38,Tour Berlin Byways,150,12,Wild Woods,6,50.00%
38,Tour Berlin Byways,150,12,Tour Berlin Byways,3,25.00%
38,Tour Berlin Byways,150,12,Random,2,16.67%
38,Tour Berlin Byways,150,12,Tour Singapore Speedway,1,8.33%
39,Ninja Hideaway,150,12,Electrodome,2,16.67%
39,Ninja Hideaway,150,12,Mario Kart Stadium,4,33.33%
39,Ninja Hideaway,150,12,Random,3,25.00%
39,Ninja Hideaway,150,12,Ninja Hideaway,3,25.00%
40,GBA Snow Land,150,12,Dragon Driftway,3,25.00%
40,GBA Snow Land,150,12,Random,5,41.67%
40,GBA Snow Land,150,12,GBA Snow Land,4,33.33%
41,DS Tick Tock Clock,150,10,DS Tick-Tock Clock,1,10.00%
41,DS Tick Tock Clock,150,10,Cloudtop Cruise,1,10.00%
41,DS Tick Tock Clock,150,10,Random,2,20.00%
41,DS Tick Tock Clock,150,10,Wii Moo Moo Meadows,5,50.00%
41,DS Tick Tock Clock,150,10,Tour Singapore Speedway,1,10.00%
42,3DS Neo Bowser City,150,12,3DS Neo Bowser City,3,25.00%
42,3DS Neo Bowser City,150,12,GBA Sky Garden,1,8.33%
42,3DS Neo Bowser City,150,12,Mario Kart Stadium,6,50.00%
42,3DS Neo Bowser City,150,12,Random,2,16.67%
43,N64 Choco Mountain,150,11,GCN Yoshi Circuit,5,45.45%
43,N64 Choco Mountain,150,11,Thwomp Ruins,3,27.27%
43,N64 Choco Mountain,150,11,N64 Choco Mountain,2,18.18%
43,N64 Choco Mountain,150,11,Random,1,9.09%
44,Squeaky Clean Sprint,150,10,Squeaky Clean Sprint,4,40.00%
44,Squeaky Clean Sprint,150,10,N64 Royal Raceway,3,30.00%
44,Squeaky Clean Sprint,150,10,Random,2,20.00%
44,Squeaky Clean Sprint,150,10,Tour London Loop,1,10.00%
45,DS Waluigi Pinball,150,12,GCN Daisy Cruiser,5,41.67%
45,DS Waluigi Pinball,150,12,Tour Singapore Speedway,4,33.33%
45,DS Waluigi Pinball,150,12,DS Waluigi Pinball,1,8.33%
45,DS Waluigi Pinball,150,12,Super Bell Subway,1,8.33%
45,DS Waluigi Pinball,150,12,Random,1,8.33%
46,SNES Bowser Castle 3,150,9,Wii Rainbow Road,3,33.33%
46,SNES Bowser Castle 3,150,9,Wii Wario's Gold Mine,4,44.44%
46,SNES Bowser Castle 3,150,9,SNES Bowser Castle 3,2,22.22%
47,Sunshine Airport,150,10,Sunshine Airport,5,50.00%
47,Sunshine Airport,150,10,Squeaky Clean Sprint,3,30.00%
47,Sunshine Airport,150,10,SNES Bowser Castle 3,2,20.00%
48,SNES Mario Circuit 3,Mirror,9,Random,4,44.44%
48,SNES Mario Circuit 3,Mirror,9,Dolphin Shoals,1,11.11%
48,SNES Mario Circuit 3,Mirror,9,SNES Mario Circuit 3,1,11.11%
48,SNES Mario Circuit 3,Mirror,9,Wii Wario's Gold Mine,3,33.33%
49,Electrodome,150,7,3DS Neo Bowser City,3,42.86%
49,Electrodome,150,7,3DS Toad Circuit,2,28.57%
49,Electrodome,150,7,Electrodome,1,14.29%
49,Electrodome,150,7,Random,1,14.29%
50,Twisted Mansion,Mirror,12,SNES Rainbow Road,2,16.67%
50,Twisted Mansion,Mirror,12,Wii Wario's Gold Mine,4,33.33%
50,Twisted Mansion,Mirror,12,GBA Riverside Park,4,33.33%
50,Twisted Mansion,Mirror,12,Random,1,8.33%
50,Twisted Mansion,Mirror,12,Twisted Mansion,1,8.33%
51,Mount Wario,150,12,Wii Koopa Cape,5,41.67%
51,Mount Wario,150,12,Tour New York Minute,2,16.67%
51,Mount Wario,150,12,Random,3,25.00%
51,Mount Wario,150,12,Dolphin Shoals,1,8.33%
51,Mount Wario,150,12,Mount Wario,1,8.33%
52,Water Park,150,11,SNES Mario Circuit 3,6,54.55%
52,Water Park,150,11,Water Park,2,18.18%
52,Water Park,150,11,Random,3,27.27%
53,Bowser's Castle,150,12,Bowser's Castle,1,8.33%
53,Bowser's Castle,150,12,Tour London Loop,1,8.33%
53,Bowser's Castle,150,12,Random,8,66.67%
53,Bowser's Castle,150,12,GBA Boo Lake,2,16.67%
54,3DS Toad Circuit,150,12,Mute City,2,16.67%
54,3DS Toad Circuit,150,12,Sunshine Airport,3,25.00%
54,3DS Toad Circuit,150,12,Merry Mountain,4,33.33%
54,3DS Toad Circuit,150,12,Random,2,16.67%
54,3DS Toad Circuit,150,12,3DS Toad Circuit,1,8.33%
55,N64 Royal Raceway,150,12,N64 Royal Raceway,8,66.67%
55,N64 Royal Raceway,150,12,Piranha Plant Cove,2,16.67%
55,N64 Royal Raceway,150,12,Random,2,16.67%
56,Tour Tokyo Blur,150,12,Random,5,41.67%
56,Tour Tokyo Blur,150,12,Super Bell Subway,1,8.33%
56,Tour Tokyo Blur,150,12,GBA Boo Lake,2,16.67%
56,Tour Tokyo Blur,150,12,Tour Tokyo Blur,4,33.33%
57,Merry Mountain,150,10,Dragon Driftway,1,10.00%
57,Merry Mountain,150,10,SNES Donut Plains 3,3,30.00%
57,Merry Mountain,150,10,Merry Mountain,3,30.00%
57,Merry Mountain,150,10,Random,3,30.00%
58,Wii Mushroom Gorge,150,12,Wii Koopa Cape,3,25.00%
58,Wii Mushroom Gorge,150,12,SNES Mario Circuit 3,4,33.33%
58,Wii Mushroom Gorge,150,12,DS Shroom Ridge,3,25.00%
58,Wii Mushroom Gorge,150,12,Wii Mushroom Gorge,1,8.33%
59,Wii Koopa Cape,150,12,Wii Koopa Cape,3,25.00%
59,Wii Koopa Cape,150,12,Tour Athens Dash,2,16.67%
59,Wii Koopa Cape,150,12,N64 Rainbow Road,3,25.00%
59,Wii Koopa Cape,150,12,Random,4,33.33%
60,Dolphin Shoals,150,12,Dragon Driftway,2,16.67%
60,Dolphin Shoals,150,12,Dolphin Shoals,2,16.67%
60,Dolphin Shoals,150,12,3DS Rock Rock Mountain,7,58.33%
60,Dolphin Shoals,150,12,Random,1,8.33%
61,SNES Mario Circuit 3,150,12,DS Waluigi Pinball,4,33.33%
61,SNES Mario Circuit 3,150,12,3DS Piranha Plant Slide,1,8.33%
61,SNES Mario Circuit 3,150,12,N64 Toad's Turnpike,3,25.00%
61,SNES Mario Circuit 3,150,12,SNES Mario Circuit 3,1,8.33%
61,SNES Mario Circuit 3,150,12,Random,3,25.00%
62,Wild Woods,150,12,GCN Dry Dry Desert,3,25.00%
62,Wild Woods,150,12,GBA Sky Garden,5,41.67%
62,Wild Woods,150,12,Wild Woods,1,8.33%
62,Wild Woods,150,12,Random,2,16.67%
62,Wild Woods,150,12,Bone-Dry Dunes,1,8.33%
63,Ice Ice Outpost,150,11,Ice Ice Outpost,2,18.18%
63,Ice Ice Outpost,150,11,Random,4,36.36%
63,Ice Ice Outpost,150,11,N64 Yoshi Valley,4,36.36%
63,Ice Ice Outpost,150,11,Tour Athens Dash,1,9.09%
64,Yoshi's Island,150,12,3DS Rainbow Road,1,8.33%
64,Yoshi's Island,150,12,Super Bell Subway,3,25.00%
64,Yoshi's Island,150,12,Random,4,33.33%
64,Yoshi's Island,150,12,Yoshi's Island,1,8.33%
64,Yoshi's Island,150,12,Tour Rome Avanti,3,25.00%
65,Merry Mountain,150,12,Squeaky Clean Sprint,3,25.00%
65,Merry Mountain,150,12,Merry Mountain,1,8.33%
65,Merry Mountain,150,12,Random,5,41.67%
65,Merry Mountain,150,12,Tour Rome Avanti,2,16.67%
65,Merry Mountain,150,12,Tour Vancouver Velocity,1,8.33%
66,Wii Daisy Circuit,150,9,Mario Kart Stadium,4,44.44%
66,Wii Daisy Circuit,150,9,Random,3,33.33%
66,Wii Daisy Circuit,150,9,3DS Music Park,1,11.11%
66,Wii Daisy Circuit,150,9,Wii Daisy Circuit,1,11.11%
67,GCN Baby Park,150,12,Wii Daisy Circuit,6,50.00%
